COLE_COD_DEPTO_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,calendario_a,calendario_b,cole_publico,cole_privado,cole_rural,cole_urbano,cole_nbilingue,cole_bilingue,cole_academico,COLE_CARACTER_NO APLICA,COLE_CARACTER_TÉCNICO,COLE_CARACTER_TÉCNICO/ACADÉMICO,etnia_si,internet_si,computador_si,ID
5.0,5001.0,1,236.9375,45.770833333333336,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,42,36,48
5.0,5001.0,1,272.40909090909093,66.86363636363636,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,22,21,22
5.0,5001.0,1,253.2,54.50769230769231,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,58,53,65
5.0,5001.0,1,249.3448275862069,53.264367816091955,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,83,67,87
5.0,5001.0,1,234.4468085106383,43.91489361702128,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,38,35,47
5.0,5001.0,1,235.32369942196533,43.98843930635838,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,158,142,173
5.0,5001.0,1,230.27777777777777,40.98148148148148,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,84,64,108
5.0,5001.0,1,244.52631578947367,49.85087719298246,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,103,88,114
5.0,5001.0,1,242.16161616161617,48.515151515151516,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4,87,64,99
5.0,5001.0,1,257.2291666666667,57.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,43,41,48
5.0,5001.0,1,241.36,47.28,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,41,31,50
5.0,5001.0,1,230.34782608695653,40.97826086956522,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5,126,72,138
5.0,5001.0,1,270.88607594936707,63.86708860759494,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,149,132,158
5.0,5001.0,1,225.51351351351352,38.08108108108108,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,27,21,37
5.0,5001.0,1,242.95,48.5125,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,74,57,80
5.0,5001.0,1,225.748031496063,38.118110236220474,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,94,62,127
5.0,5001.0,1,232.75471698113208,41.905660377358494,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,39,23,53
5.0,5001.0,1,249.21212121212122,52.89393939393939,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,64,54,66
5.0,5001.0,1,281.1875,71.60416666666667,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,94,78,96
