code_dept,code_muni,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,cole_privado,cole_publico,cole_urbano,cole_rural,etnia_si,internet_si,computador_si,ID,etnia_perc,int_perc,comp_perc,rural_share,privado_share
15,15632,6,229.49622354497356,39.833333333333336,0,6,0,6,0,60,52,124,0.0,48.38709677419355,41.935483870967744,100.0,0.0
15,15638,1,248.96666666666667,52.0,0,1,0,1,0,18,10,30,0.0,60.0,33.33333333333333,100.0,0.0
15,15646,3,272.1394164416442,62.666666666666664,1,2,2,1,0,135,114,174,0.0,77.58620689655173,65.51724137931035,33.33333333333333,33.33333333333333
15,15660,1,241.0,47.0,0,1,1,0,0,7,6,16,0.0,43.75,37.5,0.0,0.0
15,15664,2,233.19791666666666,43.0,0,2,1,1,0,7,6,25,0.0,28.000000000000004,24.0,50.0,0.0
15,15667,2,246.18067226890753,50.5,0,2,1,1,0,29,27,41,0.0,70.73170731707317,65.85365853658537,50.0,0.0
15,15673,1,240.15625,47.0,0,1,1,0,0,14,14,32,0.0,43.75,43.75,0.0,0.0
15,15676,2,236.82258064516128,45.0,0,2,1,1,0,12,11,43,0.0,27.906976744186046,25.581395348837212,50.0,0.0
15,15681,2,223.10542635658913,36.5,0,2,1,1,0,33,30,88,0.0,37.5,34.090909090909086,50.0,0.0
15,15686,2,245.9612676056338,51.5,1,1,2,0,0,31,19,73,0.0,42.465753424657535,26.027397260273972,0.0,50.0
15,15690,1,242.44827586206893,48.0,0,1,1,0,0,18,13,29,0.0,62.06896551724138,44.827586206896555,0.0,0.0
15,15693,3,278.0421855921856,67.33333333333333,1,2,3,0,0,66,57,93,0.0,70.96774193548387,61.29032258064516,0.0,33.33333333333333
15,15696,1,248.65217391304347,52.0,0,1,1,0,0,12,8,23,0.0,52.17391304347826,34.78260869565217,0.0,0.0
15,15720,1,233.45454545454547,43.0,0,1,1,0,0,6,6,22,0.0,27.27272727272727,27.27272727272727,0.0,0.0
15,15723,1,246.4375,50.0,0,1,1,0,0,6,7,16,0.0,37.5,43.75,0.0,0.0
15,15740,1,239.3703703703704,46.0,0,1,1,0,0,23,21,81,0.0,28.39506172839506,25.925925925925924,0.0,0.0
15,15753,2,251.31359649122805,53.5,0,2,2,0,0,69,59,101,0.0,68.31683168316832,58.415841584158414,0.0,0.0
